blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
6648,Room 1,5372.98,5910.28,6.7,74
6648,Room 2,7402.25,8142.48,7.87,87
6648,Room 3,4467.35,4914.08,6.11,67
6648,Room 4,673.45,740.8,2.37,26
6648,Room 5,2708.38,2979.22,4.76,53
6648,Room 6,2278.66,2506.53,4.36,48
6648,Room 7,2594.32,2853.75,4.66,51
6648,Room 8,1074.72,1182.19,3.0,33
6648,Room 9,6208.87,6829.76,7.2,79
6648,Room 10,5323.35,5855.69,6.67,73
6648,Room 11,1925.1,2117.61,4.01,44
6648,Room 12,2361.7,2597.87,4.44,49
6648,TOTAL,42391.15,46630.27,62.16,684
