blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
3074,Room 1,944.29,1038.72,2.81,31
3074,Room 2,2766.78,3043.45,4.81,53
3074,Room 3,1264.02,1390.42,3.25,36
3074,Room 4,1025.0,1127.5,2.93,33
3074,Room 5,3963.53,4359.89,5.76,63
3074,Room 6,1611.79,1772.97,3.67,41
3074,Room 7,4160.45,4576.5,5.9,65
3074,Room 8,33.88,37.27,0.53,6
3074,Room 9,1031.26,1134.39,2.94,33
3074,Room 10,31.16,34.27,0.51,6
3074,Room 11,1349.17,1484.09,3.36,37
3074,Room 12,1582.72,1740.99,3.64,40
3074,Room 13,709.39,780.33,2.44,27
3074,Room 14,544.92,599.41,2.13,24
3074,Room 15,808.08,888.89,2.6,29
3074,Room 16,71.54,78.7,0.77,9
3074,TOTAL,21897.98,24087.78,48.04,533
