blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
12267,Room 1,1578.52,1736.37,3.63,40
12267,Room 2,4576.74,5034.41,6.19,68
12267,Room 3,1916.57,2108.22,4.0,44
12267,Room 4,5181.99,5700.19,6.58,72
12267,Room 5,2298.65,2528.51,4.38,48
12267,Room 6,2570.81,2827.89,4.64,51
12267,Room 7,1529.9,1682.89,3.58,40
12267,Room 8,1378.44,1516.28,3.39,38
12267,Room 9,2018.22,2220.05,4.11,45
12267,Room 10,902.52,992.77,2.75,31
12267,Room 11,5263.17,5789.49,6.63,73
12267,Room 12,757.66,833.43,2.52,28
12267,Room 13,185.52,204.08,1.25,14
12267,Room 14,2575.49,2833.04,4.64,51
12267,Room 15,1482.31,1630.54,3.52,39
12267,Room 16,2333.02,2566.32,4.42,49
12267,Room 17,1703.83,1874.22,3.77,42
12267,Room 18,630.78,693.85,2.3,26
12267,Room 19,48.7,53.57,0.64,7
12267,TOTAL,38932.84,42826.12,72.93,806
