blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14694,Room 1,4769.67,5246.63,6.31,70
14694,Room 2,2523.07,2775.37,4.59,51
14694,Room 3,4347.78,4782.55,6.03,66
14694,Room 4,2955.5,3251.05,4.97,55
14694,Room 5,1181.68,1299.85,3.14,35
14694,Room 6,1605.1,1765.61,3.66,41
14694,Room 7,2305.54,2536.1,4.39,49
14694,Room 8,2422.33,2664.56,4.5,50
14694,Room 9,3126.83,3439.51,5.11,56
14694,Room 10,585.37,643.9,2.21,25
14694,Room 11,1271.17,1398.29,3.26,36
14694,Room 12,252.98,278.27,1.45,16
14694,Room 14,1229.34,1352.27,3.21,36
14694,Room 15,2757.21,3032.93,4.8,53
14694,Room 16,1841.84,2026.03,3.92,43
14694,Room 17,33.94,37.33,0.53,6
14694,TOTAL,33209.33,36530.26,62.1,688
