blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
5607,Room 1,944.59,1039.05,2.81,31
5607,Room 2,599.23,659.15,2.24,25
5607,Room 3,2906.0,3196.6,4.93,54
5607,Room 4,1786.12,1964.73,3.86,43
5607,Room 5,1508.17,1658.99,3.55,39
5607,Room 6,1142.58,1256.84,3.09,34
5607,Room 8,563.34,619.67,2.17,24
5607,Room 9,1550.32,1705.35,3.6,40
5607,Room 10,1414.3,1555.73,3.44,38
5607,Room 11,729.32,802.25,2.47,28
5607,Room 12,1750.67,1925.73,3.83,42
5607,Room 13,1018.56,1120.42,2.92,32
5607,Room 14,353.84,389.23,1.72,19
5607,Room 15,328.11,360.92,1.66,19
5607,TOTAL,16595.16,18254.67,42.28,468
