blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
13512,Room 1,896.8,986.48,2.74,30
13512,Room 2,3535.33,3888.86,5.44,60
13512,Room 3,1491.16,1640.27,3.53,39
13512,Room 4,1258.14,1383.95,3.24,36
13512,Room 5,1213.57,1334.93,3.19,35
13512,Room 6,1166.35,1282.99,3.12,35
13512,Room 7,1143.75,1258.12,3.09,34
13512,Room 8,895.06,984.56,2.74,30
13512,Room 9,550.39,605.42,2.14,24
13512,Room 10,861.66,947.83,2.68,30
13512,Room 11,3146.54,3461.19,5.13,57
13512,Room 12,138.05,151.85,1.07,12
13512,Room 13,56.78,62.45,0.69,8
13512,Room 14,552.95,608.24,2.15,24
13512,TOTAL,16906.51,18597.17,40.95,454
