blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
3636,Room 1,1733.57,1906.92,3.81,42
3636,Room 5,713.36,784.69,2.44,27
3636,Room 6,1510.06,1661.07,3.55,39
3636,Room 7,613.29,674.61,2.26,25
3636,Room 8,1730.9,1903.99,3.8,42
3636,Room 9,769.49,846.44,2.54,28
3636,Room 10,841.32,925.45,2.65,30
3636,Room 12,270.79,297.87,1.5,17
3636,Room 13,935.62,1029.18,2.8,31
3636,Room 14,2065.67,2272.24,4.16,46
3636,Room 15,1893.73,2083.1,3.98,44
3636,Room 16,1370.65,1507.71,3.38,38
3636,Room 17,963.19,1059.51,2.84,32
3636,Room 18,2472.3,2719.53,4.55,50
3636,TOTAL,17883.93,19672.32,44.26,491
