blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
3735,Room 1,1490.19,1639.21,3.53,39
3735,Room 2,1250.98,1376.07,3.23,36
3735,Room 3,3776.84,4154.53,5.62,62
3735,Room 4,1565.67,1722.23,3.62,40
3735,Room 5,1509.15,1660.06,3.55,39
3735,Room 6,2724.6,2997.05,4.77,53
3735,Room 7,1284.27,1412.69,3.28,36
3735,Room 8,6424.4,7066.84,7.33,81
3735,Room 9,3296.64,3626.3,5.25,58
3735,Room 10,30.75,33.82,0.51,6
3735,Room 11,26.11,28.72,0.47,6
3735,TOTAL,23379.57,25717.53,41.15,456
