blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1968,Room 1,159.08,174.99,1.15,13
1968,Room 2,778.94,856.84,2.55,28
1968,Room 3,965.88,1062.47,2.84,32
1968,Room 4,1831.98,2015.18,3.91,43
1968,Room 5,1670.17,1837.19,3.74,41
1968,Room 6,2280.34,2508.37,4.37,48
1968,Room 7,1318.97,1450.87,3.32,37
1968,Room 8,1454.93,1600.42,3.49,39
1968,Room 9,10.33,11.37,0.29,4
1968,Room 10,10.33,11.37,0.29,4
1968,Room 11,42.81,47.09,0.6,7
1968,Room 12,1046.4,1151.04,2.96,33
1968,TOTAL,11570.18,12727.2,29.51,329
