blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
6141,Room 1,2929.15,3222.07,4.95,55
6141,Room 2,1569.54,1726.5,3.62,40
6141,Room 3,1413.95,1555.34,3.44,38
6141,Room 4,1664.01,1830.41,3.73,41
6141,Room 5,2282.09,2510.3,4.37,48
6141,Room 6,1585.53,1744.08,3.64,40
6141,Room 7,660.31,726.34,2.35,26
6141,Room 8,2229.1,2452.01,4.32,48
6141,Room 9,5728.06,6300.87,6.92,76
6141,Room 10,1203.88,1324.26,3.17,35
6141,Room 11,510.76,561.84,2.07,23
6141,Room 12,254.02,279.42,1.46,16
6141,Room 13,117.15,128.86,0.99,11
6141,Room 14,999.49,1099.44,2.89,32
6141,TOTAL,23147.04,25461.74,47.91,529
