blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1034,Room 1,161.02,177.12,1.16,13
1034,Room 4,1.44,1.58,0.11,2
1034,Room 5,179.43,197.37,1.22,14
1034,Room 6,2351.08,2586.19,4.43,49
1034,Room 7,263.54,289.9,1.48,17
1034,Room 8,6296.88,6926.57,7.26,80
1034,Room 9,73.88,81.27,0.79,9
1034,Room 10,1122.32,1234.56,3.06,34
1034,Room 11,1821.97,2004.16,3.9,43
1034,Room 12,1354.79,1490.27,3.37,37
1034,Room 13,83.84,92.23,0.84,10
1034,Room 14,244.26,268.68,1.43,16
1034,Room 15,807.3,888.03,2.6,29
1034,Room 16,209.17,230.09,1.32,15
1034,Room 17,603.46,663.81,2.25,25
1034,Room 18,1091.47,1200.62,3.02,34
1034,Room 19,1601.97,1762.17,3.66,41
1034,Room 20,793.96,873.35,2.58,29
1034,Room 21,2300.85,2530.94,4.39,48
1034,Room 22,876.54,964.19,2.71,30
1034,Room 23,177.2,194.92,1.22,14
1034,Room 24,222.76,245.04,1.36,15
1034,Room 25,1767.16,1943.87,3.84,43
1034,Room 26,187.77,206.55,1.25,14
1034,Room 27,44.43,48.87,0.61,7
1034,Room 28,1371.17,1508.29,3.39,38
1034,Room 29,1765.05,1941.56,3.84,43
1034,Room 30,4398.58,4838.44,6.06,67
1034,Room 31,1.44,1.58,0.11,2
1034,Room 32,196.22,215.84,1.28,15
1034,Room 33,5064.84,5571.33,6.51,72
1034,Room 36,2.88,3.17,0.16,2
1034,Room 37,55.12,60.63,0.68,8
1034,TOTAL,37493.81,41243.2,81.87,915
