blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
8653,Room 1,2283.76,2512.14,4.37,48
8653,Room 2,5304.77,5835.25,6.66,73
8653,Room 3,1438.48,1582.33,3.47,38
8653,Room 4,3568.87,3925.76,5.46,60
8653,Room 5,1619.56,1781.52,3.68,41
8653,Room 6,1076.64,1184.31,3.0,33
8653,Room 7,4436.23,4879.85,6.09,67
8653,Room 8,3739.42,4113.37,5.59,62
8653,Room 9,2549.4,2804.34,4.62,51
8653,Room 10,3227.3,3550.02,5.19,57
8653,Room 11,1563.33,1719.66,3.61,40
8653,Room 12,2257.27,2483.0,4.34,48
8653,Room 13,2862.95,3149.24,4.89,54
8653,Room 14,5833.32,6416.65,6.98,77
8653,Room 15,678.9,746.79,2.38,27
8653,Room 16,2703.28,2973.61,4.75,52
8653,Room 17,662.82,729.1,2.35,26
8653,TOTAL,45806.3,50386.93,77.45,854
