blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
10135,Room 1,688.41,757.25,2.4,27
10135,Room 2,14.77,16.24,0.35,4
10135,Room 3,110.29,121.32,0.96,11
10135,Room 4,2118.73,2330.6,4.21,47
10135,Room 5,66.16,72.78,0.74,9
10135,Room 6,84.84,93.33,0.84,10
10135,Room 7,19.95,21.94,0.41,5
10135,Room 8,2357.61,2593.38,4.44,49
10135,Room 9,1030.44,1133.49,2.93,33
10135,Room 10,1102.76,1213.04,3.04,34
10135,Room 11,790.58,869.64,2.57,29
10135,TOTAL,8384.56,9223.01,22.89,258
