blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
3529,Room 1,1456.06,1601.67,3.49,39
3529,Room 2,3115.97,3427.57,5.1,56
3529,Room 3,1396.44,1536.08,3.42,38
3529,Room 4,1876.02,2063.62,3.96,44
3529,Room 5,1357.95,1493.75,3.37,37
3529,Room 6,178.24,196.07,1.22,14
3529,Room 7,5115.49,5627.04,6.54,72
3529,Room 8,2559.8,2815.78,4.63,51
3529,Room 9,1317.24,1448.96,3.32,37
3529,Room 10,1115.74,1227.31,3.05,34
3529,Room 11,2413.75,2655.12,4.49,50
3529,TOTAL,21902.7,24092.97,42.59,472
