blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
7620,Room 1,1355.79,1491.36,3.37,37
7620,Room 2,1234.99,1358.49,3.21,36
7620,Room 3,3153.97,3469.36,5.13,57
7620,Room 4,10474.27,11521.7,9.36,103
7620,Room 5,443.94,488.33,1.93,22
7620,Room 6,307.8,338.58,1.6,18
7620,Room 7,2632.86,2896.15,4.69,52
7620,Room 8,1032.32,1135.56,2.94,33
7620,Room 9,1359.9,1495.89,3.37,37
7620,Room 10,1938.72,2132.59,4.03,45
7620,Room 11,1367.64,1504.41,3.38,37
7620,Room 12,2026.61,2229.27,4.12,46
7620,Room 13,1975.22,2172.75,4.06,45
7620,Room 14,548.43,603.27,2.14,24
7620,Room 15,1545.69,1700.26,3.59,40
7620,TOTAL,31398.16,34537.98,56.92,632
