blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
4773,Room 1,1008.44,1109.28,2.9,32
4773,Room 2,3041.42,3345.56,5.04,56
4773,Room 3,1798.11,1977.93,3.88,43
4773,Room 4,1202.46,1322.71,3.17,35
4773,Room 5,2275.5,2503.05,4.36,48
4773,Room 6,2282.46,2510.71,4.37,48
4773,Room 7,485.07,533.57,2.01,23
4773,Room 8,3125.13,3437.64,5.11,56
4773,Room 9,4742.83,5217.11,6.3,69
4773,Room 10,446.41,491.05,1.93,22
4773,Room 11,1280.3,1408.33,3.27,36
4773,Room 12,2385.46,2624.01,4.47,49
4773,TOTAL,24073.59,26480.95,46.81,517
