blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
7932,Room 1,1397.65,1537.41,3.42,38
7932,Room 2,2087.21,2295.93,4.18,46
7932,Room 3,3369.52,3706.47,5.31,59
7932,Room 4,639.7,703.67,2.31,26
7932,Room 5,206.13,226.75,1.31,15
7932,Room 6,1702.56,1872.81,3.77,42
7932,Room 7,918.88,1010.77,2.77,31
7932,Room 8,526.48,579.13,2.1,23
7932,Room 9,943.99,1038.39,2.81,31
7932,Room 10,1129.36,1242.3,3.07,34
7932,Room 11,334.64,368.1,1.67,19
7932,Room 12,490.65,539.71,2.03,23
7932,Room 13,1086.3,1194.93,3.01,33
7932,Room 14,1443.75,1588.12,3.47,38
7932,TOTAL,16276.81,17904.49,41.24,458
