blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
7617,Room 1,906.41,997.05,2.75,31
7617,Room 2,955.32,1050.85,2.83,31
7617,Room 3,3672.62,4039.88,5.54,61
7617,Room 4,924.97,1017.46,2.78,31
7617,Room 5,3304.59,3635.05,5.26,58
7617,Room 6,1243.35,1367.68,3.22,36
7617,Room 7,1441.64,1585.8,3.47,38
7617,Room 8,1530.56,1683.61,3.58,40
7617,Room 9,1155.15,1270.67,3.11,34
7617,Room 10,986.48,1085.13,2.87,32
7617,Room 11,1155.9,1271.5,3.11,34
7617,Room 12,1141.3,1255.44,3.09,34
7617,Room 13,247.42,272.16,1.44,16
7617,Room 14,802.85,883.14,2.59,29
7617,TOTAL,19468.56,21415.41,45.63,505
