blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14714,Room 1,2.63,2.89,0.15,2
14714,Room 2,1945.67,2140.24,4.03,45
14714,Room 3,1420.73,1562.8,3.45,38
14714,Room 4,1508.27,1659.1,3.55,39
14714,Room 5,1299.95,1429.94,3.3,37
14714,Room 6,2614.74,2876.21,4.68,52
14714,Room 7,839.56,923.51,2.65,29
14714,Room 8,369.1,406.02,1.76,20
14714,Room 9,338.52,372.37,1.68,19
14714,Room 10,864.27,950.7,2.69,30
14714,Room 11,1254.4,1379.84,3.24,36
14714,Room 12,1150.36,1265.4,3.1,34
14714,Room 13,1046.23,1150.86,2.96,33
14714,TOTAL,14654.43,16119.87,37.22,414
