blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
9656,Room 1,2994.61,3294.08,5.0,55
9656,Room 2,3059.46,3365.4,5.06,56
9656,Room 3,3124.05,3436.45,5.11,56
9656,Room 4,1614.21,1775.63,3.67,41
9656,Room 5,2088.17,2296.99,4.18,46
9656,Room 6,2636.94,2900.64,4.69,52
9656,Room 7,893.77,983.15,2.73,30
9656,Room 8,3105.81,3416.39,5.1,56
9656,Room 9,2998.91,3298.8,5.01,55
9656,Room 10,875.93,963.52,2.71,30
9656,Room 11,58.4,64.24,0.7,8
9656,Room 12,776.7,854.37,2.55,28
9656,Room 13,307.84,338.63,1.6,18
9656,TOTAL,24534.81,26988.29,48.11,531
