blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
9471,Room 1,3045.23,3349.75,5.05,56
9471,Room 2,1417.44,1559.18,3.44,38
9471,Room 3,3594.52,3953.98,5.48,60
9471,Room 4,1228.76,1351.64,3.2,36
9471,Room 5,2348.97,2583.87,4.43,49
9471,Room 6,493.81,543.19,2.03,23
9471,Room 7,548.0,602.8,2.14,24
9471,Room 8,1358.04,1493.85,3.37,37
9471,Room 9,629.44,692.39,2.29,26
9471,Room 10,2120.47,2332.52,4.21,47
9471,Room 11,1609.89,1770.88,3.67,41
9471,Room 12,366.25,402.87,1.75,20
9471,Room 13,1087.71,1196.48,3.02,33
9471,Room 14,1508.37,1659.21,3.55,39
9471,Room 15,482.61,530.87,2.01,22
9471,TOTAL,21839.53,24023.48,49.64,551
