blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
7092,Room 1,4834.14,5317.55,6.36,70
7092,Room 2,5846.6,6431.25,6.99,77
7092,Room 3,4212.29,4633.52,5.93,65
7092,Room 4,1495.12,1644.63,3.54,39
7092,Room 5,612.52,673.78,2.26,25
7092,Room 6,2109.52,2320.47,4.2,46
7092,Room 7,1956.9,2152.59,4.04,45
7092,Room 8,837.57,921.32,2.65,29
7092,Room 9,3093.34,3402.68,5.09,56
7092,Room 10,664.27,730.69,2.36,26
7092,Room 11,1418.29,1560.12,3.44,38
7092,Room 12,77.86,85.65,0.81,9
7092,Room 13,2529.82,2782.8,4.6,51
7092,TOTAL,29688.24,32657.06,52.26,576
