blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
8175,Room 1,1348.28,1483.11,3.36,37
8175,Room 2,1431.07,1574.17,3.46,38
8175,Room 3,5113.13,5624.44,6.54,72
8175,Room 4,975.15,1072.67,2.86,32
8175,Room 5,2872.61,3159.87,4.9,54
8175,Room 6,1478.9,1626.79,3.52,39
8175,Room 7,1906.93,2097.62,3.99,44
8175,Room 8,1368.65,1505.52,3.38,37
8175,Room 9,907.89,998.67,2.75,31
8175,Room 10,481.64,529.8,2.01,22
8175,Room 11,1034.66,1138.12,2.94,33
8175,Room 12,1272.07,1399.27,3.26,36
8175,Room 13,495.02,544.53,2.03,23
8175,Room 14,1446.44,1591.08,3.48,39
8175,Room 15,25.09,27.6,0.46,6
8175,TOTAL,22157.51,24373.27,48.93,543
