blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
12705,Room 1,1163.82,1280.2,3.12,35
12705,Room 2,2476.31,2723.94,4.55,50
12705,Room 3,1493.23,1642.55,3.53,39
12705,Room 4,1254.68,1380.15,3.24,36
12705,Room 5,523.89,576.28,2.09,23
12705,Room 6,611.39,672.53,2.26,25
12705,Room 7,843.51,927.86,2.66,30
12705,Room 8,3573.88,3931.27,5.47,60
12705,Room 9,3837.24,4220.97,5.66,62
12705,Room 10,146.44,161.08,1.11,13
12705,Room 11,1258.95,1384.84,3.24,36
12705,Room 12,86.44,95.09,0.85,10
12705,Room 13,91.64,100.8,0.88,10
12705,Room 14,834.94,918.43,2.64,29
12705,Room 15,6.26,6.89,0.23,3
12705,TOTAL,18202.62,20022.88,41.52,461
