blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
11246,Room 1,521.55,573.71,2.09,23
11246,Room 2,1811.19,1992.31,3.89,43
11246,Room 3,1196.52,1316.17,3.16,35
11246,Room 4,1560.45,1716.5,3.61,40
11246,Room 5,2690.29,2959.32,4.74,52
11246,Room 6,3296.15,3625.77,5.25,58
11246,Room 7,1906.93,2097.63,3.99,44
11246,Room 8,1315.94,1447.54,3.32,37
11246,Room 9,1927.43,2120.17,4.01,44
11246,Room 10,63.55,69.91,0.73,8
11246,Room 11,1615.25,1776.78,3.67,41
11246,Room 12,1909.73,2100.71,4.0,44
11246,Room 13,5093.63,5602.99,6.53,72
11246,Room 14,1898.8,2088.68,3.98,44
11246,TOTAL,26807.43,29488.18,52.98,585
