blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
11818,Room 1,2422.44,2664.68,4.5,50
11818,Room 2,3172.84,3490.13,5.15,57
11818,Room 3,2585.51,2844.06,4.65,51
11818,Room 4,3388.45,3727.3,5.32,59
11818,Room 5,3327.29,3660.02,5.27,58
11818,Room 6,3903.03,4293.33,5.71,63
11818,Room 7,684.14,752.55,2.39,27
11818,Room 8,569.56,626.52,2.18,24
11818,Room 9,1020.31,1122.34,2.92,32
11818,Room 10,2205.32,2425.85,4.29,47
11818,Room 11,928.76,1021.64,2.79,31
11818,Room 12,1722.57,1894.82,3.79,42
11818,Room 13,1962.23,2158.46,4.05,45
11818,Room 14,517.28,569.01,2.08,23
11818,Room 15,375.82,413.4,1.77,20
11818,Room 16,707.82,778.61,2.43,27
11818,Room 17,385.81,424.39,1.8,20
11818,TOTAL,29879.19,32867.11,61.11,676
