blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
2086,Room 1,4981.88,5480.07,6.45,71
2086,Room 2,2978.79,3276.67,4.99,55
2086,Room 3,383.44,421.79,1.79,20
2086,Room 4,864.23,950.65,2.69,30
2086,Room 5,10638.2,11702.02,9.43,104
2086,Room 6,3181.17,3499.28,5.16,57
2086,Room 7,721.35,793.48,2.46,27
2086,Room 8,6371.52,7008.67,7.3,80
2086,Room 9,2038.42,2242.26,4.13,46
2086,Room 10,1169.71,1286.68,3.13,35
2086,Room 11,1885.69,2074.26,3.97,44
2086,Room 12,2532.93,2786.23,4.6,51
2086,Room 13,2363.08,2599.39,4.44,49
2086,Room 14,3491.92,3841.11,5.4,60
2086,Room 15,101.62,111.78,0.92,11
2086,Room 16,980.93,1079.02,2.86,32
2086,Room 17,613.95,675.34,2.27,25
2086,Room 18,4202.78,4623.06,5.93,65
2086,Room 19,7075.15,7782.67,7.69,85
2086,Room 20,1252.84,1378.13,3.24,36
2086,Room 21,3546.97,3901.66,5.45,60
2086,Room 22,3069.07,3375.98,5.07,56
2086,Room 23,2885.99,3174.59,4.91,54
2086,Room 24,4678.36,5146.2,6.25,69
2086,Room 25,3055.06,3360.57,5.05,56
2086,Room 26,5002.34,5502.57,6.47,71
2086,Room 27,3445.36,3789.9,5.37,59
2086,Room 28,496.03,545.63,2.04,23
2086,Room 29,505.6,556.16,2.06,23
2086,TOTAL,84514.4,92965.84,131.49,1454
