blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
5616,Room 1,1921.5,2113.65,4.01,44
5616,Room 2,1595.7,1755.27,3.65,40
5616,Room 3,947.01,1041.71,2.81,31
5616,Room 4,741.44,815.58,2.49,28
5616,Room 5,883.89,972.28,2.72,30
5616,Room 6,1804.01,1984.41,3.88,43
5616,Room 7,1008.88,1109.77,2.9,32
5616,Room 8,1599.11,1759.02,3.66,40
5616,Room 9,1513.2,1664.52,3.56,39
5616,Room 10,806.16,886.77,2.6,29
5616,Room 11,59.54,65.49,0.71,8
5616,Room 12,47.82,52.6,0.63,7
5616,TOTAL,12928.25,14221.08,33.61,371
