blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
6243,Room 1,2167.6,2384.37,4.26,47
6243,Room 2,1366.15,1502.77,3.38,37
6243,Room 3,2377.23,2614.95,4.46,49
6243,Room 4,3062.09,3368.29,5.06,56
6243,Room 5,890.68,979.75,2.73,30
6243,Room 6,1132.28,1245.51,3.08,34
6243,Room 7,1656.51,1822.16,3.72,41
6243,Room 8,2906.56,3197.22,4.93,54
6243,Room 9,394.96,434.45,1.82,20
6243,Room 10,597.19,656.91,2.23,25
6243,Room 11,1830.47,2013.52,3.91,43
6243,Room 12,971.12,1068.23,2.85,32
6243,Room 13,887.92,976.71,2.72,30
6243,TOTAL,20240.77,22264.85,45.15,498
