blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
8020,Room 1,327.8,360.58,1.66,19
8020,Room 2,1046.03,1150.63,2.96,33
8020,Room 3,2448.33,2693.16,4.52,50
8020,Room 4,2746.12,3020.73,4.79,53
8020,Room 5,1221.15,1343.27,3.19,35
8020,Room 6,3268.14,3594.95,5.23,58
8020,Room 7,574.09,631.5,2.19,24
8020,Room 8,1318.82,1450.7,3.32,37
8020,Room 9,3354.49,3689.94,5.3,58
8020,Room 10,1191.63,1310.8,3.16,35
8020,Room 11,2036.75,2240.43,4.13,46
8020,Room 12,1130.7,1243.76,3.07,34
8020,Room 13,1128.18,1241.0,3.07,34
8020,Room 14,553.25,608.57,2.15,24
8020,Room 15,24.94,27.43,0.46,5
8020,TOTAL,22370.4,24607.44,49.19,545
