blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
6399,Room 1,125.9,138.49,1.03,12
6399,Room 2,1905.75,2096.33,3.99,44
6399,Room 3,3493.11,3842.42,5.4,60
6399,Room 4,1652.23,1817.45,3.72,41
6399,Room 5,3987.05,4385.75,5.77,64
6399,Room 6,582.15,640.37,2.21,25
6399,Room 7,2906.22,3196.84,4.93,54
6399,Room 8,1247.38,1372.12,3.23,36
6399,Room 9,1860.23,2046.26,3.94,44
6399,Room 10,1886.31,2074.94,3.97,44
6399,Room 11,1184.79,1303.26,3.15,35
6399,Room 12,1032.65,1135.91,2.94,33
6399,Room 13,1799.17,1979.09,3.88,43
6399,Room 15,4955.46,5451.01,6.44,71
6399,Room 16,119.84,131.83,1.0,11
6399,TOTAL,28738.25,31612.07,55.59,617
