blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14343,Room 1,676.05,743.66,2.38,27
14343,Room 2,6514.55,7166.0,7.38,81
14343,Room 3,1811.37,1992.5,3.89,43
14343,Room 4,5412.99,5954.29,6.73,74
14343,Room 5,1347.74,1482.52,3.36,37
14343,Room 6,1413.2,1554.52,3.44,38
14343,Room 7,787.58,866.34,2.57,29
14343,Room 9,6.21,6.83,0.23,3
14343,Room 10,197.64,217.4,1.29,15
14343,Room 11,95.84,105.42,0.9,10
14343,Room 12,24.96,27.46,0.46,5
14343,TOTAL,18288.13,20116.94,32.6,362
