blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
11436,Room 1,121.63,133.79,1.01,12
11436,Room 2,4373.54,4810.89,6.05,67
11436,Room 3,1735.95,1909.55,3.81,42
11436,Room 4,3846.78,4231.46,5.67,63
11436,Room 5,4722.28,5194.51,6.28,69
11436,Room 6,629.93,692.92,2.29,26
11436,Room 7,1399.39,1539.33,3.42,38
11436,Room 8,1681.89,1850.08,3.75,42
11436,Room 9,825.04,907.54,2.63,29
11436,Room 10,1477.49,1625.24,3.51,39
11436,Room 13,84.15,92.56,0.84,10
11436,Room 14,1371.89,1509.08,3.39,38
11436,Room 15,1406.63,1547.29,3.43,38
11436,Room 16,1155.92,1271.51,3.11,34
11436,Room 17,670.61,737.67,2.37,26
11436,Room 18,869.71,956.68,2.7,30
11436,Room 19,621.27,683.4,2.28,25
11436,Room 20,697.64,767.4,2.41,27
11436,Room 21,602.93,663.23,2.25,25
11436,Room 22,646.29,710.92,2.32,26
11436,Room 23,1431.51,1574.66,3.46,38
11436,TOTAL,30372.47,33409.72,66.97,744
