blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14094,Room 1,1180.23,1298.25,3.14,35
14094,Room 2,1316.54,1448.19,3.32,37
14094,Room 3,2623.53,2885.89,4.68,52
14094,Room 4,3244.79,3569.27,5.21,57
14094,Room 5,6373.42,7010.76,7.3,80
14094,Room 6,2816.15,3097.77,4.85,54
14094,Room 7,510.44,561.49,2.07,23
14094,Room 8,2082.64,2290.9,4.17,46
14094,Room 9,5035.55,5539.1,6.49,71
14094,Room 10,748.07,822.88,2.5,28
14094,Room 11,4500.83,4950.92,6.13,68
14094,Room 12,2639.5,2903.45,4.7,52
14094,Room 13,914.08,1005.48,2.76,31
14094,Room 14,1042.72,1146.99,2.95,33
14094,Room 15,2806.31,3086.94,4.84,53
14094,Room 16,1973.65,2171.01,4.06,45
14094,Room 17,1224.94,1347.44,3.2,35
14094,Room 18,1490.54,1639.6,3.53,39
14094,Room 19,3009.92,3310.91,5.02,55
14094,Room 20,1483.94,1632.34,3.52,39
14094,Room 21,532.07,585.28,2.11,24
14094,Room 22,2449.04,2693.94,4.52,50
14094,Room 23,3968.43,4365.27,5.76,63
14094,Room 24,4421.42,4863.56,6.08,67
14094,TOTAL,58388.75,64227.63,102.92,1137
