blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
5519,Room 1,89.33,98.26,0.86,10
5519,Room 2,4373.18,4810.5,6.05,67
5519,Room 3,1307.47,1438.22,3.31,37
5519,Room 4,2182.95,2401.24,4.27,47
5519,Room 6,349.46,384.41,1.71,19
5519,Room 7,877.49,965.24,2.71,30
5519,Room 8,186.05,204.65,1.25,14
5519,Room 9,1878.81,2066.7,3.96,44
5519,Room 10,1256.45,1382.09,3.24,36
5519,Room 11,907.51,998.27,2.75,31
5519,Room 12,474.68,522.15,1.99,22
5519,Room 13,697.88,767.67,2.42,27
5519,Room 14,14.17,15.59,0.34,4
5519,Room 15,214.24,235.67,1.34,15
5519,Room 16,81.26,89.39,0.82,10
5519,Room 18,16.48,18.13,0.37,5
5519,TOTAL,14907.42,16398.16,37.4,418
