blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
339,Room 1,333.76,367.14,1.67,19
339,Room 2,380.59,418.65,1.78,20
339,Room 3,914.64,1006.11,2.77,31
339,Room 4,2724.44,2996.89,4.77,53
339,Room 5,743.34,817.67,2.49,28
339,Room 6,1821.44,2003.58,3.9,43
339,Room 7,1741.64,1915.81,3.82,42
339,Room 8,1572.1,1729.31,3.63,40
339,Room 9,161.06,177.17,1.16,13
339,Room 10,424.52,466.97,1.88,21
339,Room 11,588.65,647.52,2.22,25
339,Room 12,741.53,815.69,2.49,28
339,Room 13,648.87,713.76,2.33,26
339,Room 14,682.71,750.98,2.39,27
339,Room 15,1617.95,1779.74,3.68,41
339,Room 16,286.43,315.07,1.55,17
339,TOTAL,15383.67,16922.04,42.52,474
