blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14469,Room 1,971.54,1068.69,2.85,32
14469,Room 2,1737.9,1911.69,3.81,42
14469,Room 3,1403.45,1543.8,3.43,38
14469,Room 4,2562.57,2818.82,4.63,51
14469,Room 5,3404.6,3745.06,5.33,59
14469,Room 6,1669.91,1836.9,3.74,41
14469,Room 7,3042.11,3346.32,5.04,56
14469,Room 8,1747.87,1922.66,3.82,42
14469,Room 9,1183.41,1301.75,3.15,35
14469,Room 10,1456.4,1602.04,3.49,39
14469,Room 11,1831.73,2014.9,3.91,43
14469,Room 12,3029.57,3332.52,5.03,56
14469,Room 13,1497.86,1647.65,3.54,39
14469,Room 14,1860.06,2046.07,3.94,44
14469,Room 15,1543.76,1698.14,3.59,40
14469,Room 16,81.66,89.83,0.83,10
14469,Room 17,70.9,77.99,0.77,9
14469,Room 18,1635.12,1798.63,3.7,41
14469,Room 19,1759.37,1935.31,3.83,42
14469,Room 20,1442.79,1587.06,3.47,38
14469,Room 21,3129.95,3442.95,5.12,56
14469,Room 22,282.36,310.59,1.54,17
14469,Room 23,770.35,847.39,2.54,28
14469,Room 24,1773.22,1950.54,3.85,43
14469,Room 25,2159.9,2375.89,4.25,47
14469,Room 26,438.0,481.8,1.91,21
14469,TOTAL,42486.35,46734.99,91.11,1009
