blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14317,Room 1,1311.12,1442.24,3.31,37
14317,Room 2,2021.48,2223.63,4.11,45
14317,Room 3,3908.06,4298.87,5.72,63
14317,Room 4,2413.52,2654.87,4.49,50
14317,Room 5,2454.11,2699.52,4.53,50
14317,Room 6,3624.92,3987.41,5.5,61
14317,Room 7,3006.01,3306.61,5.01,55
14317,Room 8,2082.43,2290.67,4.17,46
14317,Room 9,2682.45,2950.69,4.74,52
14317,Room 10,4770.58,5247.64,6.31,70
14317,Room 11,2626.34,2888.97,4.69,52
14317,TOTAL,30901.03,33991.13,52.58,581
