blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
12564,Room 1,670.66,737.72,2.37,26
12564,Room 2,851.49,936.64,2.67,30
12564,Room 3,999.19,1099.11,2.89,32
12564,Room 4,725.14,797.65,2.46,27
12564,Room 5,1425.68,1568.25,3.45,38
12564,Room 6,2096.84,2306.52,4.19,46
12564,Room 7,1447.57,1592.33,3.48,39
12564,Room 8,3200.54,3520.59,5.17,57
12564,Room 9,623.93,686.32,2.28,25
12564,Room 10,835.97,919.56,2.64,29
12564,Room 11,378.44,416.28,1.78,20
12564,Room 12,2310.89,2541.98,4.4,49
12564,Room 13,1034.87,1138.35,2.94,33
12564,TOTAL,16601.19,18261.31,40.72,451
