blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
7086,Room 1,3850.65,4235.72,5.67,63
7086,Room 2,1288.44,1417.28,3.28,36
7086,Room 3,1465.03,1611.53,3.5,39
7086,Room 4,3019.58,3321.54,5.02,55
7086,Room 5,1625.33,1787.86,3.69,41
7086,Room 6,2282.06,2510.27,4.37,48
7086,Room 7,2589.82,2848.8,4.65,51
7086,Room 8,1969.05,2165.95,4.06,45
7086,Room 9,3070.16,3377.17,5.07,56
7086,Room 10,1820.18,2002.2,3.9,43
7086,Room 11,140.56,154.62,1.08,12
7086,Room 12,1790.37,1969.41,3.87,43
7086,TOTAL,24911.23,27402.35,48.16,532
