blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1095,Room 1,207.05,227.76,1.32,15
1095,Room 2,849.53,934.49,2.66,30
1095,Room 3,191.54,210.69,1.27,14
1095,Room 4,1061.55,1167.71,2.98,33
1095,Room 6,2258.37,2484.21,4.34,48
1095,Room 8,2448.8,2693.68,4.52,50
1095,Room 9,2204.61,2425.07,4.29,47
1095,Room 10,139.69,153.66,1.08,12
1095,Room 11,59.29,65.22,0.7,8
1095,Room 12,835.91,919.5,2.64,29
1095,Room 13,26.03,28.63,0.47,6
1095,Room 14,261.1,287.21,1.48,17
1095,TOTAL,10543.49,11597.83,27.76,309
