blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
9770,Room 1,750.76,825.83,2.51,28
9770,Room 2,1732.98,1906.28,3.81,42
9770,Room 3,471.98,519.18,1.99,22
9770,Room 4,3731.97,4105.16,5.59,62
9770,Room 5,4261.73,4687.9,5.97,66
9770,Room 6,473.4,520.74,1.99,22
9770,Room 7,867.97,954.77,2.69,30
9770,Room 8,1045.15,1149.67,2.96,33
9770,Room 9,374.37,411.81,1.77,20
9770,Room 10,2281.52,2509.67,4.37,48
9770,Room 11,1037.25,1140.98,2.94,33
9770,Room 12,2556.89,2812.57,4.62,51
9770,Room 13,837.76,921.54,2.65,29
9770,Room 14,1217.25,1338.97,3.19,35
9770,Room 15,566.09,622.7,2.18,24
9770,TOTAL,22207.06,24427.77,49.21,545
