blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1655,Room 1,4162.67,4578.94,5.9,65
1655,Room 2,1760.93,1937.02,3.84,42
1655,Room 3,3089.39,3398.33,5.08,56
1655,Room 4,98.19,108.01,0.91,10
1655,Room 5,3281.01,3609.11,5.24,58
1655,Room 6,4002.43,4402.67,5.78,64
1655,Room 7,618.6,680.46,2.27,25
1655,Room 8,1604.49,1764.93,3.66,41
1655,Room 10,37.45,41.19,0.56,7
1655,Room 11,910.64,1001.7,2.76,31
1655,Room 12,545.54,600.09,2.14,24
1655,Room 13,719.71,791.68,2.45,27
1655,Room 14,634.06,697.47,2.3,26
1655,TOTAL,21465.1,23611.61,42.89,476
