blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
10132,Room 1,1242.58,1366.84,3.22,36
10132,Room 2,5284.16,5812.58,6.65,73
10132,Room 3,1829.18,2012.1,3.91,43
10132,Room 4,1956.43,2152.07,4.04,45
10132,Room 5,82.75,91.02,0.83,10
10132,Room 6,373.24,410.56,1.77,20
10132,Room 7,788.34,867.17,2.57,29
10132,Room 8,3495.93,3845.52,5.41,60
10132,Room 9,1992.85,2192.13,4.08,45
10132,Room 10,1363.76,1500.14,3.38,37
10132,Room 11,3800.66,4180.72,5.64,62
10132,Room 12,1375.57,1513.13,3.39,38
10132,Room 13,3100.23,3410.25,5.09,56
10132,TOTAL,26685.68,29354.25,49.97,554
