blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14457,Room 1,8446.04,9290.64,8.4,92
14457,Room 2,6044.83,6649.31,7.11,78
14457,Room 3,1338.02,1471.82,3.34,37
14457,Room 4,1083.86,1192.25,3.01,33
14457,Room 5,1143.74,1258.11,3.09,34
14457,Room 6,1665.1,1831.61,3.73,41
14457,Room 7,6023.03,6625.33,7.1,78
14457,Room 8,3088.28,3397.11,5.08,56
14457,Room 9,1228.1,1350.91,3.2,36
14457,Room 11,2549.19,2804.11,4.62,51
14457,Room 12,3098.69,3408.56,5.09,56
14457,Room 13,919.86,1011.84,2.77,31
14457,Room 14,1860.3,2046.33,3.94,44
14457,Room 16,1303.69,1434.06,3.3,37
14457,Room 17,786.97,865.67,2.56,29
14457,TOTAL,40579.69,44637.66,66.36,733
