blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
2553,Room 1,119.95,131.94,1.0,11
2553,Room 2,2969.46,3266.41,4.98,55
2553,Room 3,1857.28,2043.01,3.94,44
2553,Room 4,1875.07,2062.58,3.96,44
2553,Room 5,584.93,643.42,2.21,25
2553,Room 6,2691.79,2960.96,4.74,52
2553,Room 7,703.86,774.25,2.43,27
2553,Room 8,8.58,9.44,0.27,3
2553,Room 9,1908.26,2099.09,3.99,44
2553,Room 10,622.03,684.23,2.28,25
2553,Room 11,1742.45,1916.69,3.82,42
2553,Room 12,588.83,647.71,2.22,25
2553,Room 13,332.62,365.88,1.67,19
2553,Room 14,186.06,204.67,1.25,14
2553,TOTAL,16191.17,17810.29,38.75,430
