blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
4793,Room 1,2205.14,2425.66,4.29,47
4793,Room 2,119.94,131.93,1.0,11
4793,Room 3,2237.27,2461.0,4.32,48
4793,Room 4,39.17,43.09,0.57,7
4793,Room 5,2225.09,2447.6,4.31,48
4793,Room 6,1895.15,2084.67,3.98,44
4793,Room 7,2606.96,2867.65,4.67,52
4793,Room 8,7.8,8.58,0.26,3
4793,Room 9,65.5,72.05,0.74,9
4793,Room 10,131.6,144.76,1.05,12
4793,Room 11,639.71,703.69,2.31,26
4793,Room 12,385.33,423.86,1.79,20
4793,Room 13,431.05,474.15,1.9,21
4793,Room 14,252.73,278.0,1.45,16
4793,TOTAL,13242.43,14566.68,32.66,364
