blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
6241,Room 1,3225.85,3548.43,5.19,57
6241,Room 2,1450.07,1595.08,3.48,39
6241,Room 3,2423.96,2666.36,4.5,50
6241,Room 4,1198.81,1318.69,3.17,35
6241,Room 5,749.35,824.28,2.5,28
6241,Room 6,1406.79,1547.47,3.43,38
6241,Room 7,915.85,1007.43,2.77,31
6241,Room 8,2550.76,2805.84,4.62,51
6241,Room 9,569.6,626.56,2.18,24
6241,Room 10,1075.22,1182.74,3.0,33
6241,Room 11,860.52,946.57,2.68,30
6241,Room 12,1301.95,1432.14,3.3,37
6241,TOTAL,17728.72,19501.6,40.82,453
