blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
8220,Room 1,1061.61,1167.77,2.98,33
8220,Room 2,598.05,657.85,2.24,25
8220,Room 3,8260.17,9086.18,8.31,91
8220,Room 4,2687.41,2956.16,4.74,52
8220,Room 5,11290.89,12419.98,9.72,107
8220,Room 6,3102.92,3413.21,5.09,56
8220,Room 7,1116.19,1227.81,3.05,34
8220,Room 8,3162.72,3478.99,5.14,57
8220,Room 9,110.98,122.08,0.96,11
8220,Room 10,3645.41,4009.95,5.52,61
8220,Room 11,2202.22,2422.44,4.29,47
8220,Room 12,2013.59,2214.95,4.1,45
8220,TOTAL,39252.15,43177.36,56.14,619
