blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
13085,Room 1,2123.22,2335.54,4.21,47
13085,Room 2,3611.42,3972.57,5.49,61
13085,Room 3,1314.15,1445.57,3.31,37
13085,Room 4,14917.66,16409.43,11.17,123
13085,Room 5,2806.22,3086.84,4.84,53
13085,Room 6,2731.19,3004.31,4.78,53
13085,Room 7,2795.49,3075.04,4.83,53
13085,Room 8,3087.61,3396.37,5.08,56
13085,Room 9,459.13,505.05,1.96,22
13085,Room 10,1942.33,2136.56,4.03,45
13085,Room 11,7733.35,8506.68,8.04,88
13085,Room 12,3518.94,3870.83,5.42,60
13085,Room 13,2328.88,2561.77,4.41,49
13085,Room 14,1939.75,2133.73,4.03,45
13085,Room 15,5655.63,6221.19,6.88,76
13085,Room 16,342.69,376.96,1.69,19
13085,Room 17,60.56,66.62,0.71,8
13085,TOTAL,57368.22,63105.04,80.9,895
