blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
11855,Room 1,460.29,506.32,1.96,22
11855,Room 2,1837.82,2021.6,3.92,43
11855,Room 3,596.47,656.12,2.23,25
11855,Room 4,3349.21,3684.13,5.29,58
11855,Room 5,411.52,452.67,1.85,21
11855,Room 6,2150.24,2365.26,4.24,47
11855,Room 7,1211.45,1332.59,3.18,35
11855,Room 8,15134.69,16648.16,11.25,124
11855,Room 9,6033.56,6636.91,7.1,78
11855,Room 10,764.55,841.0,2.53,28
11855,Room 11,629.63,692.6,2.29,26
11855,Room 12,1360.46,1496.51,3.37,37
11855,Room 13,5340.45,5874.49,6.68,74
11855,Room 14,906.86,997.55,2.75,31
11855,Room 15,558.8,614.68,2.16,24
11855,Room 16,1981.65,2179.81,4.07,45
11855,Room 17,1003.9,1104.29,2.9,32
11855,Room 18,1747.84,1922.63,3.82,42
11855,Room 19,3371.06,3708.16,5.31,59
11855,Room 20,1181.24,1299.37,3.14,35
11855,Room 21,529.39,582.33,2.1,24
11855,Room 22,1178.13,1295.94,3.14,35
11855,Room 23,792.28,871.51,2.57,29
11855,Room 24,2160.59,2376.64,4.25,47
11855,Room 25,3203.84,3524.22,5.18,57
11855,Room 28,2.23,2.46,0.14,2
11855,TOTAL,57898.15,63687.97,97.44,1080
