blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1651,Room 1,8637.92,9501.71,8.5,93
1651,Room 2,1064.27,1170.7,2.98,33
1651,Room 3,5548.98,6103.87,6.81,75
1651,Room 4,5344.4,5878.84,6.68,74
1651,Room 5,1921.15,2113.27,4.01,44
1651,Room 6,3487.08,3835.79,5.4,60
1651,Room 7,1990.05,2189.05,4.08,45
1651,Room 8,1038.51,1142.37,2.95,33
1651,Room 9,549.27,604.2,2.14,24
1651,Room 10,2959.81,3255.8,4.97,55
1651,Room 11,1042.22,1146.44,2.95,33
1651,Room 12,1312.94,1444.23,3.31,37
1651,Room 13,2068.85,2275.73,4.16,46
1651,TOTAL,36965.45,40662.0,58.95,652
