blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
12102,Room 1,21163.21,23279.53,13.3,146
12102,Room 2,2356.3,2591.93,4.44,49
12102,Room 3,9082.54,9990.79,8.71,96
12102,Room 4,3041.64,3345.8,5.04,56
12102,Room 5,1897.65,2087.42,3.98,44
12102,Room 6,3332.79,3666.07,5.28,58
12102,Room 7,5201.62,5721.79,6.59,73
12102,Room 8,1960.42,2156.47,4.05,45
12102,Room 9,4973.24,5470.56,6.45,71
12102,Room 10,2003.13,2203.44,4.09,45
12102,Room 11,4511.05,4962.16,6.14,68
12102,Room 12,16199.7,17819.67,11.64,128
12102,TOTAL,75723.28,83295.61,79.71,879
