blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
12500,Room 1,1134.68,1248.15,3.08,34
12500,Room 2,1540.6,1694.66,3.59,40
12500,Room 3,12706.33,13976.96,10.31,113
12500,Room 4,5345.42,5879.96,6.68,74
12500,Room 5,826.04,908.65,2.63,29
12500,Room 6,1636.63,1800.29,3.7,41
12500,Room 7,3544.09,3898.49,5.44,60
12500,Room 8,1827.91,2010.7,3.91,43
12500,Room 9,2118.26,2330.09,4.21,47
12500,Room 10,930.72,1023.8,2.79,31
12500,Room 11,4254.9,4680.39,5.96,66
12500,Room 12,1452.36,1597.6,3.48,39
12500,Room 13,2547.78,2802.56,4.61,51
12500,Room 14,1746.0,1920.6,3.82,42
12500,Room 15,1247.71,1372.48,3.23,36
12500,TOTAL,42859.43,47145.37,67.45,746
