blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
3161,Room 1,3083.07,3391.38,5.08,56
3161,Room 2,3239.14,3563.05,5.2,57
3161,Room 3,7057.23,7762.96,7.68,85
3161,Room 4,868.57,955.43,2.69,30
3161,Room 5,621.81,683.99,2.28,25
3161,Room 6,1599.75,1759.72,3.66,40
3161,Room 7,671.22,738.35,2.37,26
3161,Room 8,1523.03,1675.34,3.57,40
3161,Room 9,1609.31,1770.24,3.67,41
3161,Room 10,1123.22,1235.54,3.06,34
3161,Room 11,1398.65,1538.51,3.42,38
3161,Room 12,47.12,51.84,0.63,7
3161,Room 13,16.53,18.19,0.37,5
3161,Room 14,41.96,46.15,0.59,7
3161,TOTAL,22900.62,25190.68,44.27,491
