blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
1950,Room 1,182.45,200.69,1.23,14
1950,Room 2,1378.78,1516.65,3.39,38
1950,Room 3,5349.67,5884.64,6.69,74
1950,Room 4,5319.18,5851.1,6.67,73
1950,Room 5,1225.74,1348.32,3.2,36
1950,Room 6,2397.59,2637.35,4.48,49
1950,Room 7,4994.01,5493.41,6.46,71
1950,Room 8,654.49,719.94,2.34,26
1950,Room 9,4097.2,4506.92,5.85,65
1950,Room 10,832.88,916.16,2.64,29
1950,Room 11,2121.11,2333.22,4.21,47
1950,Room 12,897.16,986.88,2.74,30
1950,Room 13,3075.17,3382.69,5.07,56
1950,Room 14,3758.95,4134.84,5.61,62
1950,Room 15,752.98,828.28,2.51,28
1950,TOTAL,37037.36,40741.1,63.09,698
