blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
10721,Room 1,6457.51,7103.26,7.35,81
10721,Room 2,5050.12,5555.13,6.5,72
10721,Room 3,2332.08,2565.29,4.42,49
10721,Room 4,1157.15,1272.86,3.11,35
10721,Room 5,1549.35,1704.29,3.6,40
10721,Room 6,2455.64,2701.21,4.53,50
10721,Room 7,1033.01,1136.31,2.94,33
10721,Room 8,2473.92,2721.31,4.55,50
10721,Room 9,1332.27,1465.5,3.34,37
10721,Room 10,1037.6,1141.36,2.95,33
10721,Room 11,557.96,613.76,2.16,24
10721,Room 12,1094.49,1203.94,3.02,34
10721,Room 13,2971.76,3268.94,4.98,55
10721,Room 14,532.47,585.71,2.11,24
10721,Room 15,587.21,645.94,2.22,25
10721,TOTAL,30622.56,33684.81,57.76,642
